batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
Iteration,Alice-Bob/Loss,EveLoss,EveIncorrect,Alice/Bob-Incorrect,RunNumber
0,2.25791,0.499986,0.499986,0.50009,2
100,2.25777,0.499979,0.499979,0.499949,2
200,2.25781,0.500004,0.500004,0.500002,2
300,2.25781,0.500007,0.500007,0.500003,2
400,2.2578,0.500028,0.500028,0.500005,2
500,2.2578,0.499957,0.499957,0.499972,2
600,2.25775,0.499967,0.499967,0.499922,2
700,2.2579,0.499959,0.499959,0.500069,2
800,2.25787,0.499966,0.499966,0.500041,2
900,2.25777,0.500002,0.500002,0.499955,2
1000,2.25789,0.499985,0.499985,0.500074,2
1100,2.25784,0.500021,0.500021,0.50004,2
1200,2.25788,0.499992,0.499992,0.500066,2
1300,2.25789,0.500003,0.500003,0.500077,2
1400,2.25785,0.500011,0.500011,0.500044,2
1500,2.25765,0.500059,0.500059,0.499863,2
1600,2.25768,0.500074,0.500074,0.499898,2
1700,2.2579,0.499958,0.499958,0.500067,2
1800,2.25781,0.500004,0.500004,0.499995,2
1900,2.25778,0.500022,0.500022,0.499975,2
2000,2.25765,0.500023,0.500023,0.499848,2
2100,2.25775,0.500011,0.500011,0.499941,2
2200,2.25786,0.500018,0.500018,0.500051,2
2300,2.25772,0.499957,0.499957,0.499888,2
2400,2.25782,0.50001,0.50001,0.500009,2
2500,2.25772,0.499921,0.499921,0.499868,2
2600,2.2577,0.499822,0.499822,0.499802,2
2700,2.25737,0.499871,0.499871,0.4995,2
2800,2.25668,0.499296,0.499296,0.498541,2
2900,2.2548,0.496991,0.496991,0.495579,2
3000,2.2528,0.494076,0.494076,0.492209,2
3100,2.25048,0.490654,0.490654,0.488285,2
3200,2.24838,0.487315,0.487315,0.48462,2
3300,2.24454,0.481653,0.481653,0.478119,2
3400,2.24286,0.479335,0.479335,0.475345,2
3500,2.23941,0.47477,0.47477,0.469756,2
3600,2.23526,0.469799,0.469799,0.46326,2
3700,2.23119,0.465333,0.465333,0.457089,2
3800,2.22633,0.459812,0.459812,0.449632,2
3900,2.2208,0.453752,0.453752,0.441243,2
4000,2.21592,0.449746,0.449746,0.434468,2
4100,2.2096,0.444543,0.444543,0.4257,2
4200,2.2016,0.439027,0.439027,0.415091,2
4300,2.19222,0.432792,0.432792,0.402766,2
4400,2.18024,0.426283,0.426283,0.387699,2
4500,2.16349,0.42068,0.42068,0.368295,2
4600,2.14322,0.413409,0.413409,0.344588,2
4700,2.11879,0.405898,0.405898,0.316592,2
4800,2.0904,0.398664,0.398664,0.284767,2
4900,2.06187,0.391401,0.391401,0.252788,2
5000,2.0342,0.383729,0.383729,0.221462,2
5100,2.00601,0.376784,0.376784,0.189967,2
5200,1.98242,0.370542,0.370542,0.163396,2
5300,1.96099,0.360029,0.360029,0.136957,2
5400,1.94339,0.355101,0.355101,0.117,2
5500,1.92797,0.350361,0.350361,0.0993174,2
5600,1.91474,0.346006,0.346006,0.0840023,2
5700,1.90396,0.342111,0.342111,0.0713564,2
5800,1.89615,0.338942,0.338942,0.0620349,2
5900,1.88975,0.336032,0.336032,0.0542362,2
6000,1.88391,0.334804,0.334804,0.0478107,2
6100,1.88047,0.334138,0.334138,0.0440547,2
6200,1.87564,0.331743,0.331743,0.0380732,2
6300,1.87261,0.330852,0.330852,0.0346179,2
6400,1.86975,0.330695,0.330695,0.0316762,2
6500,1.86682,0.330064,0.330064,0.028444,2
6600,1.86413,0.329,0.329,0.0252509,2
6700,1.86116,0.328531,0.328531,0.0220544,2
6800,1.85884,0.329467,0.329467,0.0201845,2
6900,1.85756,0.328047,0.328047,0.0182165,2
7000,1.85639,0.327939,0.327939,0.0169954,2
7100,1.8541,0.328406,0.328406,0.0149362,2
7200,1.85297,0.32843,0.32843,0.0138189,2
7300,1.852,0.328972,0.328972,0.0130997,2
7400,1.8507,0.328708,0.328708,0.0116791,2
7500,1.84969,0.329739,0.329739,0.0111631,2
7600,1.84931,0.32867,0.32867,0.0102671,2
7700,1.84865,0.328603,0.328603,0.00958225,2
7800,1.84704,0.328948,0.328948,0.00813088,2
7900,1.84747,0.328653,0.328653,0.00841802,2
8000,1.84643,0.32929,0.32929,0.00769116,2
8100,1.84604,0.328905,0.328905,0.00710959,2
8200,1.84528,0.329597,0.329597,0.00668394,2
8300,1.84502,0.330044,0.330044,0.00664252,2
8400,1.84431,0.330004,0.330004,0.00591303,2
8500,1.84393,0.33015,0.33015,0.00559382,2
8600,1.84358,0.33039,0.33039,0.00535878,2
8700,1.84307,0.330647,0.330647,0.0049731,2
8800,1.84315,0.33018,0.33018,0.00483662,2
8900,1.84244,0.330943,0.330943,0.00449035,2
9000,1.84259,0.330106,0.330106,0.00423346,2
9100,1.84182,0.331437,0.331437,0.00410897,2
9200,1.84255,0.33038,0.33038,0.00432827,2
9300,1.84149,0.331425,0.331425,0.00377516,2
9400,1.84123,0.331293,0.331293,0.0034495,2
9500,1.84106,0.331085,0.331085,0.00317758,2
9600,1.84154,0.330414,0.330414,0.00333756,2
9700,1.84091,0.331185,0.331185,0.00307259,2
9800,1.84068,0.331448,0.331448,0.00296907,2
9900,1.84029,0.331758,0.331758,0.00272539,2
