batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
Iteration,Alice-Bob/Loss,EveLoss,EveIncorrect,Alice/Bob-Incorrect,RunNumber
0,2.25831,0.499385,0.499385,0.500212,1
100,2.25795,0.499834,0.499834,0.500058,1
200,2.25727,0.500659,0.500659,0.499761,1
300,2.25803,0.499735,0.499735,0.500092,1
400,2.25863,0.499154,0.499154,0.500425,1
500,2.25733,0.500523,0.500523,0.499765,1
600,2.25796,0.49983,0.49983,0.500071,1
700,2.25762,0.500232,0.500232,0.499914,1
800,2.25767,0.50018,0.50018,0.499946,1
900,2.25796,0.499815,0.499815,0.500061,1
1000,2.25784,0.499956,0.499956,0.50001,1
1100,2.25699,0.501197,0.501197,0.499739,1
1200,2.25683,0.501366,0.501366,0.499656,1
1300,2.25749,0.500514,0.500514,0.499921,1
1400,2.25775,0.500097,0.500097,0.499984,1
1500,2.25716,0.501025,0.501025,0.499828,1
1600,2.25679,0.501528,0.501528,0.49969,1
1700,2.25793,0.499825,0.499825,0.500036,1
1800,2.25754,0.500432,0.500432,0.499935,1
1900,2.25791,0.499829,0.499829,0.500019,1
2000,2.25784,0.499958,0.499958,0.500004,1
2100,2.25657,0.501969,0.501969,0.49968,1
2200,2.25846,0.498949,0.498949,0.500157,1
2300,2.25841,0.499001,0.499001,0.500125,1
2400,2.2574,0.500746,0.500746,0.499936,1
2500,2.25805,0.499527,0.499527,0.500018,1
2600,2.25787,0.499861,0.499861,0.499992,1
2700,2.25717,0.500912,0.500912,0.499787,1
2800,2.25614,0.497441,0.497441,0.497124,1
2900,2.2499,0.49625,0.49625,0.490326,1
3000,2.23951,0.492984,0.492984,0.47841,1
3100,2.22436,0.492185,0.492185,0.46288,1
3200,2.20444,0.495107,0.495107,0.444335,1
3300,2.18119,0.493836,0.493836,0.420486,1
3400,2.15656,0.488133,0.488133,0.393185,1
3500,2.12642,0.490675,0.490675,0.364236,1
3600,2.09282,0.488791,0.488791,0.329754,1
3700,2.05889,0.48906,0.48906,0.29595,1
3800,2.022,0.489019,0.489019,0.259033,1
3900,1.98457,0.487225,0.487225,0.220766,1
4000,1.95021,0.487307,0.487307,0.186445,1
4100,1.91895,0.488007,0.488007,0.15551,1
4200,1.89176,0.488303,0.488303,0.128458,1
4300,1.86884,0.486907,0.486907,0.104884,1
4400,1.84886,0.485248,0.485248,0.0841215,1
4500,1.83237,0.484514,0.484514,0.0672957,1
4600,1.81998,0.484549,0.484549,0.0549205,1
4700,1.8119,0.482619,0.482619,0.0459299,1
4800,1.80224,0.486199,0.486199,0.0379502,1
4900,1.79798,0.483053,0.483053,0.0322109,1
5000,1.79218,0.484196,0.484196,0.0269495,1
5100,1.78873,0.481858,0.481858,0.0224048,1
5200,1.78486,0.48342,0.48342,0.0192624,1
5300,1.78308,0.480866,0.480866,0.0162904,1
5400,1.78087,0.480495,0.480495,0.0138994,1
5500,1.77904,0.480502,0.480502,0.0120788,1
5600,1.77822,0.478479,0.478479,0.0103094,1
5700,1.77771,0.476407,0.476407,0.00882409,1
5800,1.77719,0.475097,0.475097,0.00768908,1
5900,1.77863,0.469906,0.469906,0.00668086,1
6000,1.77749,0.47102,0.47102,0.00607124,1
6100,1.77837,0.467285,0.467285,0.0051905,1
6200,1.77873,0.465508,0.465508,0.00471279,1
6300,1.77932,0.463394,0.463394,0.00430699,1
6400,1.7799,0.461257,0.461257,0.00387703,1
6500,1.77831,0.464,0.464,0.00358465,1
6600,1.77895,0.462115,0.462115,0.00333541,1
6700,1.77933,0.460783,0.460783,0.00308303,1
6800,1.78001,0.45888,0.45888,0.00286904,1
6900,1.77959,0.459403,0.459403,0.00269827,1
7000,1.77998,0.458265,0.458265,0.002549,1
7100,1.78023,0.457435,0.457435,0.0024112,1
7200,1.77987,0.457878,0.457878,0.002258,1
7300,1.77983,0.457724,0.457724,0.00214113,1
7400,1.77834,0.460681,0.460681,0.00205293,1
7500,1.77975,0.457417,0.457417,0.0019217,1
7600,1.77943,0.457939,0.457939,0.00184592,1
7700,1.7796,0.45739,0.45739,0.00175712,1
7800,1.77994,0.456487,0.456487,0.0016677,1
7900,1.7795,0.45724,0.45724,0.00158934,1
8000,1.77972,0.456626,0.456626,0.00151772,1
8100,1.77956,0.456798,0.456798,0.00144234,1
8200,1.77932,0.457199,0.457199,0.00138949,1
8300,1.77984,0.455994,0.455994,0.00133818,1
8400,1.78042,0.45459,0.45459,0.00126075,1
8500,1.77921,0.457377,0.457377,0.00136345,1
8600,1.78001,0.455284,0.455284,0.00117446,1
8700,1.77942,0.456439,0.456439,0.00113327,1
8800,1.77872,0.457818,0.457818,0.00107903,1
8900,1.77963,0.455872,0.455872,0.00107027,1
9000,1.77967,0.455619,0.455619,0.000992933,1
9100,1.77853,0.458008,0.458008,0.000974666,1
9200,1.7793,0.45625,0.45625,0.000920218,1
9300,1.77917,0.456455,0.456455,0.000886926,1
9400,1.77923,0.456349,0.456349,0.000898156,1
9500,1.77996,0.454666,0.454666,0.000829391,1
9600,1.77976,0.455038,0.455038,0.000805019,1
9700,1.77884,0.456916,0.456916,0.000773803,1
9800,1.77965,0.45521,0.45521,0.000778337,1
9900,1.77908,0.456567,0.456567,0.000851073,1
